termino,BuenosAires,CABA,Catamarca,Chaco,Chubut,Cordoba,Corrientes,EntreRios,Formosa,LaPampa,LaRioja,Mendoza,MisionesII,Neuquen,RioNegro,Salta,SanJuan,SanLuisV,SantaCruz,SantaFe,SantiagoDelEstero,TierraDelFuego,Tucuman
inmuebles afectados,2,0,0,0,0,1,1,0,2,0,0,0,0,2,1,0,0,0,1,0,1,0,0
inmueble mensurado,0,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0
inmueble incorporacion,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0
ingeniero agrimensor,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,4,1,0,2,0,0,1,0
imposicion fiscal,2,0,0,0,0,0,0,0,1,0,2,0,2,1,1,0,0,0,1,0,0,0,0
hechos existentes,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,1,0,0,0,0,0,1,5
geografico militar,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4
estados parcelarios,3,2,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
ejercicio profesional,1,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
dominio publico,0,0,0,1,0,1,0,2,0,1,3,0,3,1,1,0,1,0,1,0,1,1,0
dominio condominio,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0
documentacion profesional,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0
direccion geodesia,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0
determinaran unidad,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0
determinacion valor,1,0,1,0,0,2,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0
cualquier acto,1,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,2,0,0
clasificacion catastral,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,3,0,0
civil comercial,1,0,0,0,0,2,0,6,1,0,5,0,0,0,0,0,0,0,0,0,1,0,1
cedulas catastrales,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
catastral parcelas,2,0,0,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0
catastral parcela,2,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0
actualizacion valuacion,2,0,0,0,0,0,0,0,2,0,1,0,1,2,1,0,0,0,1,0,0,0,0
actuaciones administrativas,0,0,0,1,0,0,0,0,1,0,0,0,1,2,3,0,0,0,3,0,0,0,0
acto administrativo,0,0,1,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,2,0,2,0,0
accidentes naturales,0,0,2,1,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0
